VF,LCD (Å),PLD (Å),SA (m2/g )
0.753,18.8079,13.7187,2463.35
0.5906,8.50423,8.27985,1089.26
0.787,15.5563,9.00897,3941.72
0.739,11.5081,7.82539,3375.59
0.8736,22.824,13.4901,4829.51
0.7846,18.0726,6.71346,3519.51
0.871,26.3351,10.2764,5129.28
0.8764,24.5508,12.1743,4535.57
0.7278,10.5421,9.07611,3677.95
0.719,10.1502,8.70819,3672.63
0.6856,10.017,4.9065,1988.91
0.8358,25.6855,17.1242,3194.1
0.7844,16.3794,5.99724,4587.82
0.5262,4.64022,4.09997,1422.49
0.71,9.08566,8.61929,2697.6
0.6382,8.69504,5.47442,2572.85
0.7722,13.912,9.20691,3431.85
0.761,11.9268,5.98269,3766.22
0.7542,8.58065,5.8094,4035.37
0.8942,19.8654,14.5686,5195.22
0.7926,8.54787,6.76817,4979.11
0.7924,8.53005,6.74275,4908.1
0.8336,18.755,13.3791,3463.71
0.6026,11.2156,10.8749,1278.57
0.8326,14.4419,10.2051,4708.57
0.7948,13.8531,6.75838,4060.62
0.7898,11.39,7.08849,4228.07
0.8874,24.7893,14.092,5147.71
0.6824,9.38154,5.59471,1876.59
0.6748,9.7655,7.73483,2562.17
0.7014,12.5357,7.27061,2801.34
0.795,12.3213,7.27063,4325.4
0.6152,6.56282,6.27917,1553.7
0.7762,7.47545,6.2198,7061.42
0.7098,17.4403,16.9544,1675.56
0.9304,37.5257,19.5411,6088.87
0.913,26.2529,12.5751,6072.13
0.8902,25.1756,12.4937,5799.87
0.6144,7.6574,4.85724,822.374
0.6408,10.6197,8.65931,2151.16
0.8346,19.4749,13.2777,3753.89
0.6166,9.21635,3.18734,942.698
0.6062,5.4946,5.30289,1868.31
0.7794,13.5499,9.13066,3143.05
0.863,20.1457,8.54605,5353.8
0.8648,20.246,8.58384,5368.02
0.9392,42.7982,24.2406,6405.57
0.742,13.3702,12.1012,3450.5
0.655,10.5466,10.4574,1532.3
0.6056,10.3256,10.2098,946.742
0.6368,6.64209,5.02845,3141.59
0.7656,16.1767,10.5086,2157.11
0.5544,7.75357,4.72091,1461.22
0.7082,6.17717,5.82599,4307.06
0.7088,14.739,5.12647,2796.6
0.815,13.7968,9.90606,3871.6
0.5534,10.8725,9.01928,696.781
0.9064,21.7232,20.9879,4539.4
0.8984,18.5744,17.5567,4541.16
0.7246,13.3117,8.62623,3760.71
0.7212,13.1432,8.49712,3638.73
0.7778,21.1029,10.0936,3727.96
0.7874,21.8801,9.52705,3994.65
0.8374,18.6145,16.9288,4480.84
0.7214,18.6369,3.90699,2868.16
0.6572,17.3911,9.80191,1657.09
0.7258,11.4866,6.30332,2698.33
0.7324,12.7076,7.22422,2375.84
0.701,6.21978,5.55178,2776.54
0.7746,15.7759,8.21654,3620.44
0.9694,54.2762,28.1736,8054.44
0.9124,33.6834,15.8789,6442.53
0.8528,13.3218,10.043,6230.37
0.7554,13.9366,8.23046,2909.44
0.614,8.93125,8.46949,1637.38
0.8198,20.2591,7.7782,4794.14
0.8146,19.9203,7.75151,4733.15
0.6108,6.97816,4.93144,2198.39
0.579,9.32301,5.43687,1542.78
0.7002,9.90063,6.53329,3276.15
0.7608,8.90548,6.79186,4334.67
0.6924,10.225,9.4107,3144.66
0.7834,13.7962,7.99146,3777.11
0.5694,4.61209,3.22613,1302.99
0.821,20.3771,9.90922,3653.11
0.7928,11.2499,9.49767,3731.94
0.6902,17.0677,7.18297,2244.29
0.8104,10.5889,8.21137,3703.79
0.7224,15.2608,10.8434,2313.57
0.5456,9.90635,2.42974,1121.94
0.6274,11.0772,9.2554,1352.42
0.7834,16.9426,7.25585,3917.2
0.5428,8.4931,5.75863,1224.27
0.7788,15.602,7.15132,4136.1
0.749,27.7973,11.161,2183.9
0.7562,8.89284,8.27815,2997.14
0.7696,10.8417,6.54754,3656.2
0.7034,7.76168,6.6264,3807.52
0.7504,12.1554,11.6975,2987.95
0.697,9.63817,7.84231,1961.09
0.8002,8.79766,8.47314,3486.15
0.5078,5.5757,4.21323,1429.04
0.7088,18.3005,4.50008,2754.35
0.7222,8.5131,5.3048,4301.52
0.6724,13.0954,5.58136,1703.57
0.9076,28.0134,12.18,5696.7
0.7042,5.49146,4.83933,3697.22
0.651,12.7788,12.0274,874.57
0.6932,6.8959,6.15645,3903.55
0.5094,8.09916,4.69208,1059.38
0.7172,10.5645,5.75649,2321.59
0.5074,8.97986,3.15204,868.073
0.5818,9.71572,8.15204,1534.27
0.6592,11.1238,5.1267,1835.62
0.5904,9.25061,2.89055,1043.46
0.5532,9.11595,5.71973,796.112
0.5474,9.51714,7.06696,1078.89
0.6116,7.7396,4.21765,1141.22
0.6316,9.02838,5.92782,1496.61
0.7354,11.238,5.9406,4045.89
0.6702,8.63632,7.63034,3045.9
0.796,12.8399,7.4101,4506.73
0.5892,9.17575,5.94989,1609.25
0.7878,9.60031,8.17399,4944.37
