VF,LCD (Å),PLD (Å),SA (m2/g ),Pressure (Pa),Adsorption (cm3 STP/gr)
0.753,18.8079,13.7187,2463.35,1,0.000320095
0.753,18.8079,13.7187,2463.35,5000,1.530006234
0.753,18.8079,13.7187,2463.35,50000,13.8914436
0.753,18.8079,13.7187,2463.35,100000,25.35378943
0.753,18.8079,13.7187,2463.35,500000,78.28340837
0.753,18.8079,13.7187,2463.35,1000000,116.6223738
0.753,18.8079,13.7187,2463.35,5000000,251.6485846
0.753,18.8079,13.7187,2463.35,10000000,316.815678
0.5906,8.50423,8.27985,1089.26,1,7.01E-05
0.5906,8.50423,8.27985,1089.26,5000,0.481843294
0.5906,8.50423,8.27985,1089.26,50000,4.688833161
0.5906,8.50423,8.27985,1089.26,100000,9.154722629
0.5906,8.50423,8.27985,1089.26,500000,36.60296975
0.5906,8.50423,8.27985,1089.26,1000000,58.81096143
0.5906,8.50423,8.27985,1089.26,5000000,110.3536145
0.5906,8.50423,8.27985,1089.26,10000000,125.9465337
0.787,15.5563,9.00897,3941.72,1,0.000131245
0.787,15.5563,9.00897,3941.72,5000,0.851696938
0.787,15.5563,9.00897,3941.72,50000,8.348262285
0.787,15.5563,9.00897,3941.72,100000,16.40449648
0.787,15.5563,9.00897,3941.72,500000,72.65513483
0.787,15.5563,9.00897,3941.72,1000000,133.019846
0.787,15.5563,9.00897,3941.72,5000000,357.5412429
0.787,15.5563,9.00897,3941.72,10000000,440.8590799
0.739,11.5081,7.82539,3375.59,1,0.000170507
0.739,11.5081,7.82539,3375.59,5000,0.874945392
0.739,11.5081,7.82539,3375.59,50000,8.581327693
0.739,11.5081,7.82539,3375.59,100000,16.4089984
0.739,11.5081,7.82539,3375.59,500000,72.90199611
0.739,11.5081,7.82539,3375.59,1000000,125.6380995
0.739,11.5081,7.82539,3375.59,5000000,280.880018
0.739,11.5081,7.82539,3375.59,10000000,331.5142247
0.8736,22.824,13.4901,4829.51,1,7.45E-05
0.8736,22.824,13.4901,4829.51,5000,0.481870094
0.8736,22.824,13.4901,4829.51,50000,4.818583345
0.8736,22.824,13.4901,4829.51,100000,9.609822894
0.8736,22.824,13.4901,4829.51,500000,45.74723398
0.8736,22.824,13.4901,4829.51,1000000,90.42578455
0.8736,22.824,13.4901,4829.51,5000000,364.4445203
0.8736,22.824,13.4901,4829.51,10000000,552.7511921
0.7846,18.0726,6.71346,3519.51,1,0.000115269
0.7846,18.0726,6.71346,3519.51,5000,1.074383041
0.7846,18.0726,6.71346,3519.51,50000,10.46723729
0.7846,18.0726,6.71346,3519.51,100000,20.28542962
0.7846,18.0726,6.71346,3519.51,500000,84.50574239
0.7846,18.0726,6.71346,3519.51,1000000,146.2709328
0.7846,18.0726,6.71346,3519.51,5000000,333.4712857
0.7846,18.0726,6.71346,3519.51,10000000,398.4732204
0.871,26.3351,10.2764,5129.28,1,9.64E-05
0.871,26.3351,10.2764,5129.28,5000,0.77128092
0.871,26.3351,10.2764,5129.28,50000,7.573040648
0.871,26.3351,10.2764,5129.28,100000,14.84815305
0.871,26.3351,10.2764,5129.28,500000,65.79296076
0.871,26.3351,10.2764,5129.28,1000000,123.7347601
0.871,26.3351,10.2764,5129.28,5000000,437.5660213
0.871,26.3351,10.2764,5129.28,10000000,637.098178
0.8764,24.5508,12.1743,4535.57,1,0.000116089
0.8764,24.5508,12.1743,4535.57,5000,0.624219504
0.8764,24.5508,12.1743,4535.57,50000,6.122441222
0.8764,24.5508,12.1743,4535.57,100000,12.02725506
0.8764,24.5508,12.1743,4535.57,500000,52.71342505
0.8764,24.5508,12.1743,4535.57,1000000,98.52534155
0.8764,24.5508,12.1743,4535.57,5000000,347.3792623
0.8764,24.5508,12.1743,4535.57,10000000,523.1608598
0.7278,10.5421,9.07611,3677.95,1,0.000347364
0.7278,10.5421,9.07611,3677.95,5000,1.205243335
0.7278,10.5421,9.07611,3677.95,50000,11.65935238
0.7278,10.5421,9.07611,3677.95,100000,22.58084737
0.7278,10.5421,9.07611,3677.95,500000,84.86536806
0.7278,10.5421,9.07611,3677.95,1000000,137.517754
0.7278,10.5421,9.07611,3677.95,5000000,295.6994017
0.7278,10.5421,9.07611,3677.95,10000000,352.1724029
0.719,10.1502,8.70819,3672.63,1,0.000364732
0.719,10.1502,8.70819,3672.63,5000,1.294832492
0.719,10.1502,8.70819,3672.63,50000,12.55001361
0.719,10.1502,8.70819,3672.63,100000,24.05592865
0.719,10.1502,8.70819,3672.63,500000,89.74074901
0.719,10.1502,8.70819,3672.63,1000000,143.8170257
0.719,10.1502,8.70819,3672.63,5000000,294.7738337
0.719,10.1502,8.70819,3672.63,10000000,345.3310173
0.6856,10.017,4.9065,1988.91,1,9.13E-05
0.6856,10.017,4.9065,1988.91,5000,0.449331181
0.6856,10.017,4.9065,1988.91,50000,4.42338175
0.6856,10.017,4.9065,1988.91,100000,8.716590679
0.6856,10.017,4.9065,1988.91,500000,38.42193679
0.6856,10.017,4.9065,1988.91,1000000,66.7456503
0.6856,10.017,4.9065,1988.91,5000000,153.0436414
0.6856,10.017,4.9065,1988.91,10000000,187.053914
0.8358,25.6855,17.1242,3194.1,1,0.000104598
0.8358,25.6855,17.1242,3194.1,5000,0.483805772
0.8358,25.6855,17.1242,3194.1,50000,4.815282925
0.8358,25.6855,17.1242,3194.1,100000,9.583029373
0.8358,25.6855,17.1242,3194.1,500000,44.83976872
0.8358,25.6855,17.1242,3194.1,1000000,86.1669291
0.8358,25.6855,17.1242,3194.1,5000000,313.1996214
0.8358,25.6855,17.1242,3194.1,10000000,461.8895998
0.7844,16.3794,5.99724,4587.82,1,0.000211274
0.7844,16.3794,5.99724,4587.82,5000,1.348214133
0.7844,16.3794,5.99724,4587.82,50000,13.4032375
0.7844,16.3794,5.99724,4587.82,100000,26.3659015
0.7844,16.3794,5.99724,4587.82,500000,110.9784272
0.7844,16.3794,5.99724,4587.82,1000000,181.8113655
0.7844,16.3794,5.99724,4587.82,5000000,365.195102
0.7844,16.3794,5.99724,4587.82,10000000,435.2187191
0.5262,4.64022,4.09997,1422.49,1,0.001326405
0.5262,4.64022,4.09997,1422.49,5000,6.915000878
0.5262,4.64022,4.09997,1422.49,50000,47.17589388
0.5262,4.64022,4.09997,1422.49,100000,68.36046667
0.5262,4.64022,4.09997,1422.49,500000,109.5875461
0.5262,4.64022,4.09997,1422.49,1000000,124.1624826
0.5262,4.64022,4.09997,1422.49,5000000,150.6853919
0.5262,4.64022,4.09997,1422.49,10000000,158.8679007
0.71,9.08566,8.61929,2697.6,1,0.000241305
0.71,9.08566,8.61929,2697.6,5000,0.871155731
0.71,9.08566,8.61929,2697.6,50000,8.687993547
0.71,9.08566,8.61929,2697.6,100000,17.2534374
0.71,9.08566,8.61929,2697.6,500000,78.49636547
0.71,9.08566,8.61929,2697.6,1000000,134.9672467
0.71,9.08566,8.61929,2697.6,5000000,260.9867538
0.71,9.08566,8.61929,2697.6,10000000,293.8182784
0.6382,8.69504,5.47442,2572.85,1,0.00030207
0.6382,8.69504,5.47442,2572.85,5000,1.426339223
0.6382,8.69504,5.47442,2572.85,50000,13.33551639
0.6382,8.69504,5.47442,2572.85,100000,25.28411684
0.6382,8.69504,5.47442,2572.85,500000,90.71014309
0.6382,8.69504,5.47442,2572.85,1000000,138.096505
0.6382,8.69504,5.47442,2572.85,5000000,233.7040515
0.6382,8.69504,5.47442,2572.85,10000000,261.5772442
0.7722,13.912,9.20691,3431.85,1,0.000111874
0.7722,13.912,9.20691,3431.85,5000,0.610780447
0.7722,13.912,9.20691,3431.85,50000,5.982509645
0.7722,13.912,9.20691,3431.85,100000,11.86282995
0.7722,13.912,9.20691,3431.85,500000,52.97999695
0.7722,13.912,9.20691,3431.85,1000000,97.5291862
0.7722,13.912,9.20691,3431.85,5000000,289.2066831
0.7722,13.912,9.20691,3431.85,10000000,369.1634138
0.761,11.9268,5.98269,3766.22,1,0.000251865
0.761,11.9268,5.98269,3766.22,5000,1.229191005
0.761,11.9268,5.98269,3766.22,50000,11.17655996
0.761,11.9268,5.98269,3766.22,100000,20.68564565
0.761,11.9268,5.98269,3766.22,500000,76.93854138
0.761,11.9268,5.98269,3766.22,1000000,131.3025644
0.761,11.9268,5.98269,3766.22,5000000,315.5913752
0.761,11.9268,5.98269,3766.22,10000000,381.1035257
0.7542,8.58065,5.8094,4035.37,1,0.000203504
0.7542,8.58065,5.8094,4035.37,5000,0.974299984
0.7542,8.58065,5.8094,4035.37,50000,9.578524933
0.7542,8.58065,5.8094,4035.37,100000,18.58501422
0.7542,8.58065,5.8094,4035.37,500000,81.45735505
0.7542,8.58065,5.8094,4035.37,1000000,140.9388969
0.7542,8.58065,5.8094,4035.37,5000000,300.1327946
0.7542,8.58065,5.8094,4035.37,10000000,348.3669665
0.8942,19.8654,14.5686,5195.22,1,8.87E-05
