Pressure (Pa),VF,LCD (Å),PLD (Å),SA (m2/g )
1000,0.6842,10.1029,7.15637,2542.34
1000,0.492,5.12494,3.68789,668.677
500000,0.3868,5.17559,4.77124,274.107
500,0.6318,8.6384,5.67843,1264.86
500000,0.3518,3.72213,3.32278,59.3477
500000,0.3524,3.7089,3.2937,46.3717
500000,0.3532,3.6953,3.29845,41.1421
500000,0.3524,3.69182,3.28243,37.7196
500000,0.35,3.80907,3.35382,74.1679
5000000,0.4438,4.53355,3.90286,131.828
5000000,0.4354,5.08002,3.51252,92.8971
10000000,0.4438,4.53355,3.90286,131.828
5000000,0.433,4.59148,3.67658,147.915
5000000,0.4512,4.48519,3.90629,198.71
5000000,0.4348,5.31241,3.65877,800.896
1000000,0.4314,4.35737,3.84524,736.915
1000000,0.4348,5.31241,3.65877,800.896
5000000,0.4348,5.86134,3.79303,920.978
5000000,0.4314,4.35737,3.84524,736.915
5000000,0.495,4.43369,3.93895,1109.42
10000000,0.5002,4.76594,3.97544,1250.83
10000000,0.495,4.43369,3.93895,1109.42
5000000,0.5002,4.76594,3.97544,1250.83
5000000,0.4874,4.49594,4.05224,1021.06
10000000,0.4958,5.94146,2.41019,929.438
10000000,0.5044,5.53566,2.64045,858.226
10000000,0.5138,5.82492,2.57519,859.446
10000000,0.5128,5.98285,3.00159,910.099
10000000,0.5096,5.94508,3.03911,915.362
10000000,0.5472,4.86654,3.68424,1725.78
10000000,0.5746,4.81461,3.51016,1512.21
10000000,0.5694,4.61209,3.22613,1302.99
10000000,0.547,5.05393,2.87926,1259.43
10000000,0.5678,5.1465,3.74676,1711.3
10000000,0.5672,5.76822,4.62513,1298.4
10000000,0.5686,5.69204,4.57463,1230.35
10000000,0.563,5.60935,4.76331,1243.85
10000000,0.5604,6.06034,4.51773,1313.45
10000000,0.5576,5.60484,4.74964,1310.25
10000000,0.5854,7.47499,2.63162,1369.14
1000000,0.5746,5.88567,3.71625,1606.86
1000000,0.5682,5.87643,3.82611,1450.83
1000000,0.5716,5.95531,3.72974,1398.09
1000000,0.5904,6.04901,3.48029,1470.68
10000000,0.5926,6.60468,3.67142,1502.86
10000000,0.5904,6.04901,3.48029,1470.68
10000000,0.5816,6.20415,3.43588,1324.31
10000000,0.5972,7.10606,3.80774,1673.45
10000000,0.6188,6.75931,3.87519,1499.83
10000000,0.545,8.72809,3.86749,1271.87
10000000,0.5486,8.8329,3.77071,1193.38
10000000,0.5542,8.90504,3.86123,1210.9
10000000,0.5564,8.97205,3.95645,1212.41
10000000,0.6554,5.27825,3.53087,2251.03
10000000,0.6486,4.79644,3.03624,1571.37
10000000,0.6276,4.56916,3.40748,1755.19
10000000,0.644,5.46139,4.76389,2151.31
10000000,0.6684,5.20646,3.81875,1785.17
10000000,0.6348,4.95936,4.07145,1973.11
10000000,0.6726,7.13593,3.78757,2040.47
10000000,0.6578,8.31671,3.81807,2199.54
5000000,0.6726,7.13593,3.78757,2040.47
10000000,0.672,6.99656,4.17509,2158.04
5000000,0.672,6.99656,4.17509,2158.04
10000000,0.6264,7.50874,4.26843,2656.54
10000000,0.628,8.07783,3.80615,2549.12
5000000,0.6264,7.50874,4.26843,2656.54
10000000,0.6292,8.01411,3.79872,2514.12
10000000,0.6418,8.05462,5.1792,2494.21
10000000,0.6996,6.503,4.33861,3143.89
10000000,0.6962,5.67593,4.5303,2918.19
10000000,0.6974,5.70452,4.56197,2983.66
10000000,0.6996,5.73555,4.60029,2975.36
10000000,0.6998,5.73609,4.60094,2975.45
10000000,0.6706,8.72596,4.78582,2891.46
10000000,0.6642,7.05179,4.74765,2753.93
10000000,0.6774,7.00282,4.91398,2720.08
10000000,0.665,8.51649,4.04507,2711.18
5000000,0.6706,8.72596,4.78582,2891.46
10000000,0.6302,9.91084,4.94321,2023.49
10000000,0.6424,9.55583,4.63693,2054.35
10000000,0.6334,9.56168,4.85659,1947.92
10000000,0.6286,10.9458,5.16973,2050.73
10000000,0.6264,9.50738,3.99435,2040.4
10000000,0.6594,10.6324,4.41521,2662.99
10000000,0.6776,10.6418,4.52481,2552.15
10000000,0.6938,11.6319,4.40592,2640.56
10000000,0.7018,11.3267,4.96034,2457.39
10000000,0.6898,11.3294,4.75784,2389.63
10000000,0.678,12.8298,5.12034,2688.78
10000000,0.6744,12.8691,4.98724,2583
5000000,0.678,12.8298,5.12034,2688.78
10000000,0.6698,12.7484,4.90662,2559.11
10000000,0.6526,13.1084,3.92348,2137.62
10000000,0.715,11.3777,5.00759,3392.15
10000000,0.7144,10.5945,5.69918,3192.89
