Pressure (Pa),VF,LCD (Å),PLD (Å),SA (m2/g )
1000,0.6842,10.1029,7.15637,2542.34
1000,0.492,5.12494,3.68789,668.677
500000,0.3868,5.17559,4.77124,274.107
500,0.6318,8.6384,5.67843,1264.86
500000,0.3838,4.79761,4.69593,273.164
500000,0.3698,5.0786,4.57892,191.957
1000000,0.3868,5.17559,4.77124,274.107
1000000,0.3838,4.79761,4.69593,273.164
500000,0.3962,5.19321,4.51034,105.791
1000000,0.4116,5.11656,4.82152,390.215
1000000,0.4138,5.15455,4.85632,395.845
1000000,0.4076,5.192,4.5372,477.29
1000000,0.4214,5.24143,4.75286,501.29
1000000,0.4064,4.69268,4.51959,371.021
1000000,0.4314,4.35737,3.84524,736.915
1000000,0.4318,4.68587,4.02373,688.065
5000000,0.4314,4.35737,3.84524,736.915
5000000,0.4318,4.68587,4.02373,688.065
5000000,0.4084,4.82249,4.38256,459.371
10000000,0.4314,4.35737,3.84524,736.915
5000000,0.475,4.24603,3.78968,963.071
5000000,0.457,4.21696,3.7868,590.155
5000000,0.4302,4.44057,3.72721,636.398
10000000,0.475,4.24603,3.78968,963.071
10000000,0.4874,4.49594,4.05224,1021.06
10000000,0.4742,4.78336,3.78154,912.941
5000000,0.4874,4.49594,4.05224,1021.06
10000000,0.459,4.5925,3.72441,765.906
10000000,0.469,4.92633,4.45881,835.1
10000000,0.4802,5.12157,4.43835,1041.01
10000000,0.484,4.77305,4.26622,841.477
10000000,0.473,5.3188,3.97632,1089.78
10000000,0.4942,4.38835,3.9606,850.605
5000000,0.4802,5.12157,4.43835,1041.01
10000000,0.503,4.63531,3.53624,1031.87
10000000,0.4874,4.68057,3.6532,987.223
10000000,0.5062,4.53313,3.88732,1050.91
10000000,0.5064,4.18455,3.46938,917.014
10000000,0.495,4.43369,3.93895,1109.42
10000000,0.5002,4.76594,3.97544,1250.83
10000000,0.5144,5.10209,3.53964,1153.61
10000000,0.51,4.83008,3.80459,912.674
10000000,0.4984,5.2601,3.59083,992.863
10000000,0.5164,4.89594,3.826,934.408
10000000,0.5244,4.96195,3.39873,1206.05
10000000,0.5284,4.67797,3.97904,1421.89
10000000,0.5306,5.03839,3.5374,1231.49
10000000,0.5262,4.64022,4.09997,1422.49
10000000,0.5098,5.32857,3.35824,1188.2
10000000,0.521,5.43641,4.11889,1371.05
10000000,0.5272,5.14315,4.1527,1295.08
10000000,0.5078,5.5757,4.21323,1429.04
10000000,0.5368,5.29132,3.67742,1325.79
10000000,0.5314,5.43686,4.14383,1403.28
5000000,0.5284,4.67797,3.97904,1421.89
5000000,0.5262,4.64022,4.09997,1422.49
5000000,0.5002,4.76594,3.97544,1250.83
10000000,0.541,4.84062,3.90347,1252.23
10000000,0.5406,4.19176,3.82361,1100.17
5000000,0.5244,4.96195,3.39873,1206.05
5000000,0.5306,5.03839,3.5374,1231.49
5000000,0.5144,5.10209,3.53964,1153.61
5000000,0.541,4.84062,3.90347,1252.23
5000000,0.5098,5.32857,3.35824,1188.2
10000000,0.5504,4.78325,3.91982,1541.91
10000000,0.5472,4.86654,3.68424,1725.78
10000000,0.5582,4.61212,3.63133,1533.99
5000000,0.5272,5.14315,4.1527,1295.08
5000000,0.5472,4.86654,3.68424,1725.78
10000000,0.5608,4.7279,3.83843,1519.72
10000000,0.567,4.79076,3.93215,1505.43
10000000,0.5666,4.87289,4.04271,1526.84
10000000,0.5552,4.53725,3.92462,1682.21
10000000,0.5686,4.6871,3.79057,1588.93
10000000,0.5874,4.32673,3.84006,1485.57
10000000,0.5782,4.54995,3.78626,1413.29
10000000,0.5844,4.69664,4.11195,1551.13
10000000,0.5812,4.54974,3.80687,1424.8
10000000,0.576,4.54619,3.75106,1392.92
10000000,0.5794,4.73813,3.78761,1600.74
5000000,0.5686,4.6871,3.79057,1588.93
10000000,0.5576,4.89363,4.31451,1424.84
5000000,0.567,4.79076,3.93215,1505.43
5000000,0.5608,4.7279,3.83843,1519.72
10000000,0.5776,5.07339,3.91911,1661.14
10000000,0.5802,4.8017,3.95118,1533.95
10000000,0.5846,4.72449,3.84654,1556.78
10000000,0.5746,4.81461,3.51016,1512.21
10000000,0.5996,4.88072,3.66399,1699.73
10000000,0.5678,5.1465,3.74676,1711.3
10000000,0.5938,5.18429,3.8135,1541.29
10000000,0.592,5.38373,3.98212,1543.34
10000000,0.5746,5.88567,3.71625,1606.86
10000000,0.591,5.77002,3.85246,1575.81
10000000,0.5798,5.10059,4.42412,1643.94
10000000,0.582,5.32501,4.24984,1634.38
10000000,0.574,5.41853,4.65091,1663.87
