Pressure (Pa),VF,LCD (Å),PLD (Å),SA (m2/g )
1000,0.6842,10.1029,7.15637,2542.34
1000,0.492,5.12494,3.68789,668.677
500000,0.3868,5.17559,4.77124,274.107
500,0.6318,8.6384,5.67843,1264.86
10000000,0.9694,54.2762,28.1736,8054.44
1,0.9694,54.2762,28.1736,8054.44
5000000,0.9694,54.2762,28.1736,8054.44
3,0.9694,54.2762,28.1736,8054.44
5,0.9694,54.2762,28.1736,8054.44
10000000,0.8076,25.6894,25.4389,1510.5
1,0.8076,25.6894,25.4389,1510.5
5000000,0.8076,25.6894,25.4389,1510.5
3,0.8076,25.6894,25.4389,1510.5
5,0.8076,25.6894,25.4389,1510.5
1,0.8304,38.2281,38.0665,2893.25
10000000,0.8304,38.2281,38.0665,2893.25
5000000,0.8304,38.2281,38.0665,2893.25
3,0.8304,38.2281,38.0665,2893.25
10000000,0.8324,37.3405,13.0059,4240.94
1,0.9118,19.8186,17.0636,6349.95
3,0.9118,19.8186,17.0636,6349.95
5,0.9118,19.8186,17.0636,6349.95
10,0.9118,19.8186,17.0636,6349.95
20,0.9118,19.8186,17.0636,6349.95
10000000,0.7822,7.07949,4.99162,6931.17
10000000,0.7762,7.47545,6.2198,7061.42
5000000,0.7822,7.07949,4.99162,6931.17
5000000,0.7762,7.47545,6.2198,7061.42
1000000,0.7822,7.07949,4.99162,6931.17
1,0.9304,37.5257,19.5411,6088.87
1,0.749,27.7973,11.161,2183.9
3,0.749,27.7973,11.161,2183.9
1,0.7792,23.8744,6.75259,3316.52
3,0.9304,37.5257,19.5411,6088.87
10000000,0.658,16.0507,15.6466,1511.5
10000000,0.643,15.9244,15.4838,1571.53
5000000,0.658,16.0507,15.6466,1511.5
5000000,0.643,15.9244,15.4838,1571.53
10000000,0.6208,14.8276,14.7703,1444.16
10000000,0.9392,42.7982,24.2406,6405.57
5000000,0.9392,42.7982,24.2406,6405.57
1000000,0.9392,42.7982,24.2406,6405.57
10000000,0.655,21.0733,4.609,1452.12
10000000,0.8648,20.246,8.58384,5368.02
10000000,0.9292,23.0353,21.6072,6105.88
5000000,0.9292,23.0353,21.6072,6105.88
1,0.6792,4.54107,3.68666,5060.73
10000000,0.9064,21.7232,20.9879,4539.4
3,0.6792,4.54107,3.68666,5060.73
1,0.7778,18.3193,17.5552,1454.47
1,0.8528,13.3218,10.043,6230.37
1,0.772,16.7889,16.7175,1925.59
1,0.7686,16.9257,16.8447,2020.63
1,0.767,16.8944,16.8133,2007.15
1,0.2296,3.46694,2.90192,1.50744
1,0.2354,3.54497,2.69613,9.74799
1,0.82,30.7006,30.1441,3192.07
3,0.82,30.7006,30.1441,3192.07
10000000,0.82,30.7006,30.1441,3192.07
1,0.8324,37.3405,13.0059,4240.94
10000000,0.9182,29.975,15.0225,6628.79
5000000,0.9182,29.975,15.0225,6628.79
1000000,0.9182,29.975,15.0225,6628.79
1,0.8816,28.6652,11.5377,5712.98
1,0.647,18.9433,3.74567,1071.01
3,0.647,18.9433,3.74567,1071.01
1,0.605,15.9185,2.85919,1328.76
5,0.647,18.9433,3.74567,1071.01
1,0.472,15.165,5.42937,1267.64
10000000,0.749,27.7973,11.161,2183.9
10000000,0.832,11.3854,11.1242,4292.99
5000000,0.832,11.3854,11.1242,4292.99
10000000,0.7606,5.53493,4.56275,3560.59
10000000,0.8024,23.8709,10.8478,1789.58
1,0.844,23.7023,22.8547,4485.82
3,0.844,23.7023,22.8547,4485.82
5,0.844,23.7023,22.8547,4485.82
1,0.865,27.3395,23.1844,4167.13
1,0.8258,24.2323,22.8992,4150.4
1,0.651,12.7788,12.0274,874.57
1,0.9392,42.7982,24.2406,6405.57
3,0.651,12.7788,12.0274,874.57
1,0.6086,12.3304,11.4865,1329.51
5,0.651,12.7788,12.0274,874.57
10000000,0.5854,12.7414,3.10347,429.158
10000000,0.519,10.0468,9.57778,722.858
10000000,0.525,10.2977,9.60437,693.336
10000000,0.5142,9.42311,9.23332,644.215
5000000,0.5854,12.7414,3.10347,429.158
10000000,0.9304,37.5257,19.5411,6088.87
10000,0.8358,25.6855,17.1242,3194.1
5000,0.8358,25.6855,17.1242,3194.1
5000000,0.9304,37.5257,19.5411,6088.87
40000,0.8358,25.6855,17.1242,3194.1
10000000,0.8856,17.2951,15.3322,5193.45
10000000,0.8788,17.2864,15.7464,5076.95
1,0.7762,7.47545,6.2198,7061.42
5000000,0.8856,17.2951,15.3322,5193.45
5000000,0.8788,17.2864,15.7464,5076.95
10000000,0.7212,16.8024,4.60613,3604.43
