CIFNAME,smiles_nodes,smiles_linkers,topology
ABAVIJ_clean,[Co],[O-]C(=O)c1ccncc1,rtl
ABAYOU_clean,Cl[Co][Co]Cl,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],tbo
ABESUX_clean,[U],[O]P(=O)([O])[O],UNKNOWN
ABETAE_clean,[U],[O]P(=O)([O])[O],UNKNOWN
ABETIN_clean,[Cu],n1ccc(cc1)c1cc(c2ccncc2)c(cc1c1ccncc1)c1ccncc1,ubo
ABEXEM_clean,[La],[O-]C(=O)C(=O)[O-];[O-]C(=O)c1ncnc(c1)C(=O)[O-],ERROR
ABEXEN_clean,[In],[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-];[O-]C(=O)c1ccc(s1)C(=O)[O-],UNKNOWN
ABEXIQ_clean,[Ce],[O-]C(=O)C(=O)[O-];[O-]C(=O)c1ncnc(c1)C(=O)[O-],ERROR
ABEXUC_clean,[Nd],[O-]C(=O)C(=O)[O-];[O-]C(=O)c1ncnc(c1)C(=O)[O-],ERROR
ABEYAJ_clean,[Sm],[O-]C(=O)C(=O)[O-];[O-]C(=O)c1ncnc(c1)C(=O)[O-],ERROR
ABEYIR_clean,[Gd],[O-]C(=O)C(=O)[O-];[O-]C(=O)c1ncnc(c1)C(=O)[O-],ERROR
ABIXOZ_clean,O1[Mo]23[Mo]41[O]3[Co]135([O]6[Mo]7(O2)O[Mo]67O[Mo]26[Mo](O4)([O]12)O6)[O]1[Mo]24[Mo]1(O4)O[Mo]14[O]3[Mo]1(O4)O[Mo]13[O]5[Mo]1(O2)O3;[Co]1O[Co]O1,[O]P(=O)([O])[O],pcu
ABIYIV_clean,[Co],[O-]C(=O)C1=NC=N[C]1C(=O)[O-];n1ccc(cc1)c1ccncc1,UNKNOWN
ABULOB_clean,[Be],[O]P(=O)[O],UNKNOWN
ABUWOJ_clean,[Zn][OH]1[Zn][OH]([Zn]1)[Zn],[O-]C(=O)c1ccc(cc1)C(=O)[O-],pcu
ac403674p_si_001_clean,[Zn]Br,CC(CC(C(=O)[O-])NCc1ccncc1)C,UNKNOWN
ACAJIY_clean,[Zn],C(Cn1nncn1)Cn1nncn1;C1=N[N]N([N]1)CCCn1nncn1,pcu
ACAJIZ_clean,[Cu][Cu],[O-]C(=O)CCCC(=O)[O-];n1ccc(cc1)CCc1ccncc1,rob
ACAJOF_clean,[Cu][Cu],C(Cc1ccncc1)Cc1ccncc1;[O-]C(=O)CCCC(=O)[O-],rob
ACAKUM_clean,[La],[O-]C(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)[O-])C(=O)[O-],sql
ACALIB_clean,[Er],[O-]C(=O)c1cc(cc(c1)n1nnc(c1)c1cc(cc(c1)C(=O)O)C(=O)[O-])C(=O)[O-],sql
ACIBIY_clean,[Co],[O-]C=O,met
ACIBOE_clean,[Zn][O]([Zn])[Zn],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],sab
ACOGAB_clean,Br[Cd]Br,O=C(N1CCN(CCN(CCN(CC1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)Nc1ccncc1,lvt
ACOGEF_clean,I[Cd]I,O=C(N1CCN(CCN(CCN(CC1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)Nc1ccncc1,lvt
ACOLEL_clean,[Mn],[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-];c1ncn(c1)c1ccc(cc1)c1ccc(cc1)n1cncc1,dia
ACOLIP_clean,[Zn],[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-];c1ncn(c1)Cc1ccc(cc1)Cn1cncc1,dia
ACOLOV_clean,[Cd],[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],sra,UNKNOWN
ACUBAB_clean,Cl[Zn];[Zn],[O]P(=O)([O])[O],UNKNOWN
ACUFEK_clean,[Cu][Cu],[O-]C(=O)c1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],tbo
ACUJOZ_manual,*,,NA
ACUTOI_clean,[Cd];[Na],C1CN2CCN1CC2;[O-]C(=O)c1ccc(c(c1)S([O])([O])[O])C(=O)[O-],pcu
ADABIS_clean,[Cu],C(Cc1ccncc1)Cc1ccncc1;[O-]C(=O)C1=N[N]N=N1,UNKNOWN
ADABUE_clean,[Cu],C(Cc1ccncc1)Cc1ccncc1;[O-]C(=O)C1=NN=N[N]1,UNKNOWN
ADARAA_clean,[Co]O[Co],[O-]C(=O)c1cc(cc(c1)C1=C2C=CC3=[N]2[Co]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2c(Br)cccc2Br)cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1c(Br)cccc1Br)C(=O)[O-],nbo,tfb
